APP_Libelle_etablissement,Code_postal,Libelle_commune,Synthese_eval_sanit,filtre_activite,Latitude,Longitude,Adress_Rue,Adress_Avenue,Adress_Chemin,Adress_Place,Adress_Boulevard,Adress_Route,Adress_quai
Restarant L'Hermine (SARL CRENN),29400,BODILIS,Très satisfaisant, Autres,48.530331,-4.116261,1,0,0,0,0,0,0
L'ECLUSE (ATSO 71),80230,SAINT VALERY SUR SOMME,Satisfaisant, Autres,50.176425,1.647443,1,0,0,0,0,0,0
LA CAVE DU FORT  (FORT DES CAPS),62164,AMBLETEUSE,Très satisfaisant, Autres,45.88368247734546,1.8146273876131076,1,1,1,0,0,0,0
GRANADA,92230,GENNEVILLIERS,Urgent_Améliorer, Autres,48.922072,2.299371,0,1,1,0,0,0,0
brasserie Le Bellevue (MYCAAN),29200,BREST,Urgent_Améliorer, Autres,48.403474,-4.507219,0,0,0,1,0,0,0
LE YETI DE PIAU,65170,ARAGNOUET,Très satisfaisant, Autres,42.782832,0.15566,0,0,0,0,0,0,0
NOS BLES PURS,80400,MATIGNY,Satisfaisant, Autres,49.798583,3.002249,1,0,0,0,0,0,0
BRASSERIE TOUSSAINT,78430,LOUVECIENNES,Satisfaisant, Autres,48.86722,2.113602,1,0,1,0,0,0,0
THE BEER GARAGE,78117,TOUSSUS LE NOBLE,Satisfaisant, Autres,48.745979,2.111391,1,0,1,0,0,1,0
DH CHOCOLATIER,92700,COLOMBES,Urgent_Améliorer, Autres,48.922713,2.252761,1,0,0,0,0,0,0
KUBIX,92000,NANTERRE,Très satisfaisant, Autres,48.894066,2.230419,1,0,0,0,0,0,0
LA PETANQUE,29290,SAINT RENAN,Très satisfaisant, Autres,48.434684,-4.622418,1,0,0,1,0,0,0
MAISON MARCEL,69006,SAINT CYR AU MONT D OR,Satisfaisant, Autres,45.766928,4.855746,1,0,0,0,0,0,0
PIZZA-HUT (LANA CHATOU),78400,CHATOU,Satisfaisant, Autres,48.890421,2.153416,1,1,1,0,0,0,0
CHINA WOK (SARL H & L),74700,SALLANCHES,Satisfaisant, Autres,45.950619,6.631022,1,0,0,0,0,0,0
LA PARISIENNE (LA PARISIENNE DE MALAKOFF),92240,MALAKOFF,Urgent_Améliorer, Autres,48.823273,2.309086,1,0,0,0,0,0,0
Restaurant Nounours café (PMLH),29200,BREST,Satisfaisant, Autres,48.392391,-4.492,1,0,0,0,0,0,0
SAS MAZZEI,92100,BOULOGNE BILLANCOURT,Urgent_Améliorer, Autres,48.847055,2.23997,0,1,0,0,0,0,0
Restaurant le 84 (BURGER84),29290,SAINT RENAN,Très satisfaisant, Autres,48.434322,-4.622584,0,0,0,1,0,0,0
POISSONNERIE LES DAUPHINS COURS BERRIAT (LA PASSION DU POISSON),38100,GRENOBLE,Satisfaisant, Autres,45.164227,5.740647,1,0,0,0,0,0,0
INFARM-INDOOR URBAN FARMING FRANCE,92390,VILLENEUVE LA GARENNE,Très satisfaisant, Autres,48.928574,2.325981,1,1,0,0,0,0,0
CORCORAN'S (CORCORAN'S NANTERRE),92000,NANTERRE,Urgent_Améliorer, Autres,48.894312,2.226624,1,0,0,0,0,0,0
SHOPNO CASH AND CARRY (HM GENERAL),95200,SARCELLES,Urgent_Améliorer, Autres,48.978874,2.379161,1,0,0,0,1,0,0
BOUCHERIE DU MANET,78180,MONTIGNY LE BRETONNEUX,Très satisfaisant, Autres,48.767573,2.017216,1,0,0,0,0,0,0
CARREFOUR MARKET (J&L RETAIL),92100,BOULOGNE BILLANCOURT,Urgent_Améliorer, Autres,48.830039,2.232602,1,1,0,0,0,0,0
LES DELICES DE LA MER,38160,SAINT MARCELLIN,Très satisfaisant, Autres,45.153328,5.320938,1,0,0,0,0,0,0
V.L.F,94140,ALFORTVILLE,Très satisfaisant, Autres,48.814451,2.412887,1,0,1,0,0,0,0
LA MIE BENE,80630,BEAUVAL,Urgent_Améliorer, Autres,50.109005,2.334663,1,0,1,0,0,0,0
CARREFOUR,13014,Marseille 14e  Arrondissement,Très satisfaisant, Autres,43.328018,5.397611,1,1,0,0,0,0,0
